,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
198,Are Hard Won LGBTQ Rights About to be Lost at the Supreme Court? Here at 7pm P/10p Eastern (same link works for rec… https://t.co/9Fv8ASl9VL,FALSE,10,NA,4/25/2019 20:45,TRUE,NA,1.12E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",JandJDad,5,FALSE,FALSE,NA,NA
199,There are a lot of myths floating around about Title IX thanks to the Trump Administration. This article sets the r… https://t.co/Nz3udVr5Tm,FALSE,1,NA,4/25/2019 20:34,TRUE,NA,1.12E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",evry2min,0,FALSE,FALSE,NA,NA
200,"RT @CollegeFix: “An investigation into sexual harassment must apply uniform standards regardless of the complainant’s and accused’s sex."" B…",FALSE,0,NA,4/25/2019 20:22,FALSE,NA,1.12E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Salosso,6,TRUE,FALSE,NA,NA
201,RT @JaneDueker: I stand w/ Justice Ruth Bader Ginsburg who supports due process in #TitleIX proceedings &amp; acknowledges valid criticisms aga…,FALSE,0,NA,4/25/2019 20:21,FALSE,NA,1.12E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",charliekmox,2,TRUE,FALSE,NA,NA
202,"RT @CollegeFix: “An investigation into sexual harassment must apply uniform standards regardless of the complainant’s and accused’s sex."" B…",FALSE,0,NA,4/25/2019 20:13,FALSE,NA,1.12E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",SafeLibraries,6,TRUE,FALSE,NA,NA
203,“An investigation into sexual harassment must apply uniform standards regardless of the complainant’s and accused’s… https://t.co/ybX4mmK8MV,FALSE,11,NA,4/25/2019 20:13,TRUE,NA,1.12E+18,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",CollegeFix,6,FALSE,FALSE,NA,NA
204,RT @ildemwmn: #TimesUp #MeToo #TitleIX https://t.co/ZCOHr4IrYL,FALSE,0,NA,4/25/2019 20:10,FALSE,NA,1.12E+18,NA,"<a href=""http://www.cheyneo.us"" rel=""nofollow"">GeneralFamily002</a>",Family_General1,1,TRUE,FALSE,NA,NA
205,#TimesUp #MeToo #TitleIX https://t.co/ZCOHr4IrYL,FALSE,0,NA,4/25/2019 20:09,FALSE,NA,1.12E+18,NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",ildemwmn,1,FALSE,FALSE,NA,NA
206,"RT @JoshWBRichards: 1/ It appears that at least for the moment, we can trust that the Fourth Circuit will not join the Sixth in finding a d…",FALSE,0,NA,4/25/2019 19:50,FALSE,NA,1.12E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",universityeeo,7,TRUE,FALSE,NA,NA
207,"RT @TitleIXForAll: We've just released our fifth monthly expansion to our #TitleIX Legal Database, implementing the option for users to sav…",FALSE,0,NA,4/25/2019 19:40,FALSE,NA,1.12E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",saveosons,2,TRUE,FALSE,NA,NA
